league,team,team_logo,player_name,player_link,squad_status,team_logo_url,full_name,date_of_birth,place_of_birth,latitude,longitude,height,position_full
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Jurriën Timber,https://en.wikipedia.org/wiki/Jurri%C3%ABn_Timber,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Jurriën David Norman Timber[1],(2001-06-17)17 June 2001(age 23)[2],"Utrecht, Netherlands",52.09083,5.12167,1.79 m (5 ft 10 in)[3],Defender
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Jakub Kiwior,https://en.wikipedia.org/wiki/Jakub_Kiwior,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Jakub Piotr Kiwior[1],(2000-02-15)15 February 2000(age 24),"Tychy, Poland",50.12361,18.98667,1.89 m (6 ft 2 in)[2],"Centre-back,left-back"
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Oleksandr Zinchenko,https://en.wikipedia.org/wiki/Oleksandr_Zinchenko_(footballer),On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Oleksandr Volodymyrovych Zinchenko[1],(1996-12-15)15 December 1996(age 27)[2],"Radomyshl, Ukraine",50.49472,29.23333,1.75 m (5 ft 9 in)[3],"Left-back,midfielder"
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Takehiro Tomiyasu,https://en.wikipedia.org/wiki/Takehiro_Tomiyasu,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Takehiro Tomiyasu[1],(1998-11-05)5 November 1998(age 25),"Fukuoka, Japan",33.59,130.40167,1.87 m (6 ft 2 in)[2][3],"Full back,centre-back"
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Leandro Trossard,https://en.wikipedia.org/wiki/Leandro_Trossard,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Leandro Trossard[1],(1994-12-04)4 December 1994(age 29)[2],"Maasmechelen, Belgium",50.967,5.7,1.72 m (5 ft 8 in)[2],"Forward,left winger"
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Jorginho,"https://en.wikipedia.org/wiki/Jorginho_(footballer,_born_December_1991)",On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Jorge Luiz Frello Filho[1],(1991-12-20)20 December 1991(age 32)[2],"Imbituba, Brazil",-28.233,-48.667,1.80 m (5 ft 11 in)[2],Defensive midfielder
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,David Raya,https://en.wikipedia.org/wiki/David_Raya,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,David Raya Martín[1],(1995-09-15)15 September 1995(age 28)[2],"Barcelona, Spain",41.38278,2.17694,1.83 m (6 ft 0 in)[3][4],Goalkeeper
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Mikel Merino,https://en.wikipedia.org/wiki/Mikel_Merino,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Mikel Merino Zazón[1],(1996-06-22)22 June 1996(age 28)[2],"Pamplona, Spain[2]",42.817,-1.65,1.88 m (6 ft 2 in)[2],Midfielder
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Kai Havertz,https://en.wikipedia.org/wiki/Kai_Havertz,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Kai Lukas Havertz,(1999-06-11)11 June 1999(age 25),"Aachen, Germany",50.77556,6.08361,1.93 m (6 ft 4 in)[1],"Attacking midfielder,Forward[2]"
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Neto,"https://en.wikipedia.org/wiki/Neto_(footballer,_born_1989)",On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Norberto Murara Neto[1],(1989-07-19)19 July 1989(age 35),"Araxá, Brazil",-19.59278,-46.94083,1.90 m (6 ft 3 in)[2],Goalkeeper
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Riccardo Calafiori,https://en.wikipedia.org/wiki/Riccardo_Calafiori,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,,(2002-05-19)19 May 2002(age 22),"Rome, Italy",41.89333,12.48278,1.88 m (6 ft 2 in)[1],"Centre-back,left-back"
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Declan Rice,https://en.wikipedia.org/wiki/Declan_Rice,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Declan Rice,(1999-01-14)14 January 1999(age 25),"Kingston upon Thames, England",51.4103,-0.2995,6 ft 2 in (1.88 m)[1],Defensive midfielder[2]
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Fábio Vieira,"https://en.wikipedia.org/wiki/F%C3%A1bio_Vieira_(footballer,_born_2000)",On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Fábio Daniel Ferreira Vieira[1],(2000-05-30)30 May 2000(age 24)[1],"Santa Maria da Feira, Portugal",40.933,-8.533,1.70 m (5 ft 7 in)[1],Attacking midfielder
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Reiss Nelson,https://en.wikipedia.org/wiki/Reiss_Nelson,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Reiss Luke Nelson[1],(1999-12-10)10 December 1999(age 24)[1],"Elephant and Castle, England",51.483,-0.1,5 ft 9 in (1.75 m)[1],Winger[1]
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Marquinhos,"https://en.wikipedia.org/wiki/Marquinhos_(footballer,_born_2003)",On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Marcus Vinicius Oliveira Alencar[1],(2003-04-07)7 April 2003(age 21),"São Paulo, Brazil",-23.55,-46.633,1.75 m (5 ft 9 in),Winger
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Karl Hein,https://en.wikipedia.org/wiki/Karl_Hein_(footballer),On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Karl Jakob Hein[1],(2002-04-13)13 April 2002(age 22),"Põlva, Estonia",58.05389,27.05444,1.93 m (6 ft 4 in)[2],Goalkeeper
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Nuno Tavares,https://en.wikipedia.org/wiki/Nuno_Tavares,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Nuno Albertino Varela Tavares[1],(2000-01-26)26 January 2000(age 24)[2],"Lisbon, Portugal[2]",38.72528,-9.15,1.83 m (6 ft 0 in)[2],Left-back
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Albert Sambi Lokonga,https://en.wikipedia.org/wiki/Albert_Sambi_Lokonga,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Albert-Mboyo Sambi Lokonga[1],(1999-10-22)22 October 1999(age 24),"Verviers,Liège, Belgium",50.583,5.85,1.83 m (6 ft 0 in),Central midfielder
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Ethan Nwaneri,https://en.wikipedia.org/wiki/Ethan_Nwaneri,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Ethan Chidiebere Nwaneri[1],(2007-03-21)21 March 2007(age 17),"Rainham, England",51.5177,0.1948,5 ft 9 in (1.76 m)[1],Midfielder[1]
Premier League,Arsenal,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Charles Sagoe Jr,https://en.wikipedia.org/wiki/Charles_Sagoe_Jr,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/180px-Arsenal_FC.svg.png,Charles Kwame Sagoe Junior,(2004-07-24)24 July 2004(age 20),"Kingston upon Thames, England",51.4103,-0.2995,,Left winger
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Matty Cash,https://en.wikipedia.org/wiki/Matty_Cash,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Matthew Stuart Cash[1],(1997-08-07)7 August 1997(age 27)[2],"Slough,Berkshire, England[2]",51.508392,-0.58810504,6 ft 1 in (1.85 m)[2],Right-back
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Diego Carlos,"https://en.wikipedia.org/wiki/Diego_Carlos_(footballer,_born_1993)",First Team,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Diego Carlos Santos Silva[1],(1993-03-15)15 March 1993(age 31)[2],"Barra Bonita, São Paulo, Brazil",-22.49472,-48.55806,1.86 m (6 ft 1 in)[2],Centre-back
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Ezri Konsa,https://en.wikipedia.org/wiki/Ezri_Konsa,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Ezri Ngoyo Konsa,(1997-10-23)23 October 1997(age 26),"Newham, England",51.517,0.033,6 ft 0 in (1.83 m)[1],"Centre-back,right-back[2]"
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Tyrone Mings,https://en.wikipedia.org/wiki/Tyrone_Mings,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Tyrone Deon Mings[1],(1993-03-13)13 March 1993(age 31)[2],"Bath, England",51.38,-2.36,6 ft 5 in (1.96 m)[3],Centre-back[4]
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Ross Barkley,https://en.wikipedia.org/wiki/Ross_Barkley,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Ross Barkley,(1993-12-05)5 December 1993(age 30),"Liverpool, England",53.40722,-2.99167,6 ft 2 in (1.89 m)[1],Midfielder[2]
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,John McGinn,https://en.wikipedia.org/wiki/John_McGinn,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,John McGinn[1],(1994-10-18)18 October 1994(age 29)[2],"Glasgow, Scotland",55.86111,-4.25,5 ft 10 in (1.78 m)[2],Midfielder[3]
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Youri Tielemans,https://en.wikipedia.org/wiki/Youri_Tielemans,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Youri Marion A. Tielemans[1],(1997-05-07)7 May 1997(age 27)[2],"Sint-Pieters-Leeuw, Belgium",50.783,4.25,1.76 m (5 ft 9 in)[3],Midfielder
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Jhon Durán,https://en.wikipedia.org/wiki/Jhon_Dur%C3%A1n,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Jhon Jader Durán Palacio[1],(2003-12-13)13 December 2003(age 20),"Medellín, Colombia",6.23083,-75.59056,1.85 m (6 ft 1 in)[2],Forward
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Emiliano Buendía,https://en.wikipedia.org/wiki/Emiliano_Buend%C3%ADa,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Emiliano Buendía Stati[1],(1996-12-25)25 December 1996(age 27)[2],"Mar del Plata, Argentina",-38,-57.55,1.72 m (5 ft 8 in)[3],"Attacking midfielder,left winger"
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Ollie Watkins,https://en.wikipedia.org/wiki/Ollie_Watkins,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Oliver George Arthur Watkins,(1995-12-30)30 December 1995(age 28),"Torquay, England",50.47,-3.53,5 ft 11 in (1.80 m)[1],Forward
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Lucas Digne,https://en.wikipedia.org/wiki/Lucas_Digne,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Lucas Digne[1],(1993-07-20)20 July 1993(age 31)[2],"Meaux, France",48.9603,2.8883,1.78 m (5 ft 10 in)[2],Left-back
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Pau Torres,https://en.wikipedia.org/wiki/Pau_Torres,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Pau Francisco Torres[1],(1997-01-16)16 January 1997(age 27)[2],"Villarreal, Spain",39.93778,-0.10139,1.91 m (6 ft 3 in)[2],Centre-back
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Joe Gauci,https://en.wikipedia.org/wiki/Joe_Gauci,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Joe Anthony Gauci[1],"(2000-07-04)July 4, 2000(age 24)","Adelaide, Australia[2]",-34.9275,138.6,1.94 m (6 ft 4 in)[2],Goalkeeper
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Jaden Philogene,https://en.wikipedia.org/wiki/Jaden_Philogene,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Jaden Richard Philogene-Bidace[1],(2002-02-08)8 February 2002(age 22),"Hammersmith, England",51.4928,-0.2229,5 ft 11 in (1.81 m)[2],Winger[3]
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Kosta Nedeljković,https://en.wikipedia.org/wiki/Kosta_Nedeljkovi%C4%87,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Kosta Nedeljković,(2005-12-16)16 December 2005(age 18),"Smederevo,Serbia and Montenegro",44.667,20.933,1.84 m (6 ft 0 in),Right-back
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Ian Maatsen,https://en.wikipedia.org/wiki/Ian_Maatsen,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Ian Ethan Maatsen[1],(2002-03-10)10 March 2002(age 22),"Vlaardingen, Netherlands",51.9,4.35,1.78 m (5 ft 10 in)[2],Left-back/Winger[3]
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Emiliano Martínez,https://en.wikipedia.org/wiki/Emiliano_Mart%C3%ADnez,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Damián Emiliano Martínez Romero[1],(1992-09-02)2 September 1992(age 32)[2],"Mar del Plata, Argentina",-38,-57.55,1.95 m (6 ft 5 in)[3],Goalkeeper
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Amadou Onana,https://en.wikipedia.org/wiki/Amadou_Onana,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Amadou Ba Zeund Georges Mvom Onana[1],(2001-08-16)16 August 2001(age 23)[2],"Dakar, Senegal",14.69278,-17.44667,1.95 m (6 ft 5 in)[2],Defensive midfielder
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Robin Olsen,https://en.wikipedia.org/wiki/Robin_Olsen,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Robin Patrick Olsen[1],(1990-01-08)8 January 1990(age 34)[2],"Malmö, Sweden",55.60583,13.03583,1.96 m (6 ft 5 in)[3],Goalkeeper
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Lamare Bogarde,https://en.wikipedia.org/wiki/Lamare_Bogarde,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Lamare Trenton Chansey Bogarde[1],(2004-01-05)5 January 2004(age 20),"Rotterdam, Netherlands",51.92,4.48,1.83 m (6 ft 0 in)[2],"Defender,midfielder"
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Morgan Rogers,https://en.wikipedia.org/wiki/Morgan_Rogers,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Morgan Elliot Rogers[1],(2002-07-26)26 July 2002(age 22)[2],"Halesowen, England",52.450164,-2.050935,1.89 m (6 ft 2 in)[2],Forward
Premier League,Aston Villa,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Kortney Hause,https://en.wikipedia.org/wiki/Kortney_Hause,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Aston_Villa_FC_new_crest.svg/150px-Aston_Villa_FC_new_crest.svg.png,Kortney Paul Duncan Hause[1],(1995-07-16)16 July 1995(age 29)[2],"Goodmayes, London, England",51.56306,0.11333,6 ft 3 in (1.91 m)[3],"Centre-back,left-back[4]"
